Time,Signal
400.00,2.27
401.00,1.89
402.00,1.89
403.00,2.27
404.00,1.89
405.00,1.89
406.00,1.51
407.00,3.03
408.00,2.65
409.00,1.89
410.00,1.89
411.00,2.27
412.00,1.89
413.00,2.27
414.00,3.03
415.00,4.17
416.00,3.79
417.00,4.17
418.00,3.79
419.00,3.79
420.00,4.54
421.00,4.92
422.00,4.17
423.00,4.17
424.00,5.68
425.00,6.44
426.00,7.20
427.00,7.96
428.00,7.20
429.00,6.06
430.00,8.72
431.00,8.72
432.00,7.20
433.00,8.72
434.00,9.10
435.00,9.86
436.00,10.24
437.00,10.62
438.00,10.24
439.00,8.72
440.00,11.38
441.00,10.24
442.00,10.62
443.00,9.48
444.00,11.38
445.00,9.86
446.00,11.38
447.00,10.62
448.00,11.00
449.00,12.51
450.00,11.00
451.00,11.00
452.00,13.27
453.00,11.38
454.00,10.62
455.00,12.13
456.00,11.76
457.00,12.51
458.00,11.38
459.00,10.62
460.00,11.00
461.00,10.62
462.00,9.48
463.00,10.62
464.00,10.62
465.00,9.10
466.00,10.62
467.00,9.86
468.00,6.44
469.00,6.82
470.00,6.06
471.00,6.82
472.00,9.10
473.00,7.20
474.00,6.44
475.00,4.92
476.00,4.17
477.00,5.30
478.00,4.92
479.00,6.82
480.00,7.20
481.00,5.30
482.00,3.41
483.00,5.68
484.00,7.58
485.00,8.34
486.00,7.20
487.00,5.30
488.00,3.79
489.00,4.17
490.00,4.92
491.00,4.92
492.00,4.54
493.00,5.30
494.00,4.92
495.00,3.41
496.00,4.54
497.00,5.30
498.00,4.92
499.00,5.30
500.00,4.92
501.00,6.06
502.00,7.20
503.00,9.10
504.00,8.72
505.00,8.72
506.00,8.72
507.00,9.10
508.00,8.72
509.00,8.34
510.00,9.48
511.00,10.24
512.00,6.44
513.00,7.58
514.00,7.96
515.00,8.72
516.00,7.20
517.00,7.58
518.00,4.92
519.00,4.54
520.00,4.17
521.00,6.44
522.00,5.30
523.00,6.44
524.00,5.68
525.00,6.82
526.00,5.68
527.00,4.92
528.00,4.92
529.00,6.06
530.00,6.06
531.00,6.44
